행정구역,2021년05월_총인구수,2021년05월_세대수,2021년05월_세대당 인구,2021년05월_남자 인구수,2021년05월_여자 인구수,2021년05월_남여 비율
대구광역시  (2700000000),2402940,1061872,2.26,1184977,1217963,0.97
대구광역시 중구 (2711000000),75133,38635,1.94,36106,39027,0.93
대구광역시 동구 (2714000000),341730,157398,2.17,168209,173521,0.97
대구광역시 서구 (2717000000),168704,83584,2.02,84423,84281,1
대구광역시 남구 (2720000000),146066,77226,1.89,70118,75948,0.92
대구광역시 북구 (2723000000),437892,188832,2.32,218036,219856,0.99
대구광역시 수성구 (2726000000),420820,171310,2.46,203573,217247,0.94
대구광역시 달서구 (2729000000),552192,235532,2.34,272325,279867,0.97
대구광역시 달성군 (2771000000),260403,109355,2.38,132187,128216,1.03
